Time,Instantaneous Solar energy Generation(kWh),Instantaneous Solar Usage (kWh),Instantaneous User Consumption (kWh),Device_1_Consumption (kW),Device_2_Consumption (kW),Device_3_Consumption (kW),Device_4_Consumption (kW),TOU rates (INR),Predicted TOU rates (1 hour ahead),Cumulative Energy Consumption,Predicted Solar Generation (kWh),Optimal Solar Usage (kWh),Optimal Grid Usage (kWh),Instantaneous Full Grid Cost (INR),Instantaneous Actual Cost (INR),Instantaneous Savings (INR),Cumulative Savings (INR),Cumulative Bill (INR),Cumulative Energy Saved (kWh),Trees Saved,Battery Level (kWh)
1/12/2024 3:30,0,0,0.35,0.018,0.015,0.059,0.096,10,19.29775281,14.09,0,0,0.35,3.5,3.5,0,0,144.3,0,0,0
1/12/2024 3:35,0,0,0.35,0.026,0.009,0.071,0.086,10,19.29775281,14.44,0,0,0.35,3.5,3.5,0,0,147.8,0,0,0
1/12/2024 3:40,0,0,0.36,0.134,0.201,0.054,0.232,10,19.29775281,14.8,0,0,0.36,3.6,3.6,0,0,151.4,0,0,0
1/12/2024 3:45,0,0,0.37,0.114,0.189,0.09,0.022,10,19.29775281,15.17,0,0,0.37,3.7,3.7,0,0,155.1,0,0,0
1/12/2024 3:51,0,0,0.36,0.119,0.079,0.062,0.062,10,19.29775281,15.53,0,0,0.36,3.6,3.6,0,0,158.7,0,0,0
1/12/2024 3:56,0,0,0.35,0.018,0.305,0.076,0.232,10,19.29775281,15.88,0,0,0.35,3.5,3.5,0,0,162.2,0,0,0
1/12/2024 4:01,0,0,0.36,0.066,0.082,0.105,0.078,19.29775281,19.29775281,16.24,0,0,0.36,6.947191012,6.947191012,0,0,169.147191,0,0,0
1/12/2024 4:06,0,0,0.35,0.047,0.054,0.03,0.077,19.29775281,19.29775281,16.59,0,0,0.35,6.754213483,6.754213483,0,0,175.9014045,0,0,0
1/12/2024 4:11,0,0,0.35,0.059,0.056,0.063,0.043,19.29775281,19.29775281,16.94,0,0,0.35,6.754213483,6.754213483,0,0,182.655618,0,0,0
1/12/2024 4:16,0,0,0.35,0.07,0.003,0.055,0.135,19.29775281,19.29775281,17.29,0,0,0.35,6.754213483,6.754213483,0,0,189.4098315,0,0,0
1/12/2024 4:23,0,0,0.35,0.007,0.176,0.182,0.027,19.29775281,19.29775281,17.64,0,0,0.35,6.754213483,6.754213483,0,0,196.1640449,0,0,0
1/12/2024 4:28,0,0,0.37,0.219,0.194,0.05,0.326,19.29775281,19.29775281,18.01,0,0,0.37,7.14016854,7.14016854,0,0,203.3042135,0,0,0
1/12/2024 4:33,0,0,0.35,0.141,0.079,0.215,0.03,19.29775281,24.41011236,18.36,0,0,0.35,6.754213483,6.754213483,0,0,210.058427,0,0,0
1/12/2024 4:39,0,0,0.35,0.067,0.02,0.037,0.022,19.29775281,24.41011236,18.71,0,0,0.35,6.754213483,6.754213483,0,0,216.8126405,0,0,0
1/12/2024 4:44,0,0,0.35,0.171,0.164,0.067,0.014,19.29775281,24.41011236,19.06,0,0,0.35,6.754213483,6.754213483,0,0,223.5668539,0,0,0
1/12/2024 4:49,0,0,0.34,0.011,0.047,0.066,0.001,19.29775281,24.41011236,19.4,0,0,0.34,6.561235955,6.561235955,0,0,230.1280899,0,0,0
1/12/2024 4:54,0,0,0.35,0.021,0.16,0.053,0.003,19.29775281,24.41011236,19.75,0,0,0.35,6.754213483,6.754213483,0,0,236.8823034,0,0,0
1/12/2024 5:00,0,0,0.35,0.147,0.002,0.048,0.027,19.29775281,24.41011236,20.1,0,0,0.35,6.754213483,6.754213483,0,0,243.6365169,0,0,0
1/12/2024 5:05,0,0,0.36,0.069,0.173,0.1,0.116,19.29775281,24.41011236,20.46,0,0,0.36,6.947191012,6.947191012,0,0,250.5837079,0,0,0
1/12/2024 5:10,0,0,0.36,0.002,0.005,0.105,0.02,19.29775281,24.41011236,20.82,0,0,0.36,6.947191012,6.947191012,0,0,257.5308989,0,0,0
1/12/2024 5:16,0,0,0.35,0.005,0.111,0.057,0.063,19.29775281,19.29775281,21.17,0,0,0.35,6.754213483,6.754213483,0,0,264.2851124,0,0,0
1/12/2024 5:21,0,0,0.39,0.024,0.11,0.172,0.154,19.29775281,19.29775281,21.56,0,0,0.39,7.526123596,7.526123596,0,0,271.811236,0,0,0
1/12/2024 5:27,0,0,0.35,0.006,0.012,0.039,0.142,19.29775281,19.29775281,21.91,0,0,0.35,6.754213483,6.754213483,0,0,278.5654494,0,0,0
1/12/2024 5:32,0,0,0.35,0.046,0.018,0.125,0.127,24.41011236,19.29775281,22.26,0,0,0.35,8.543539326,8.543539326,0,0,287.1089888,0,0,0
1/12/2024 5:38,0,0,0.36,0.091,0.084,0.209,0.027,24.41011236,19.29775281,22.62,0,0,0.36,8.78764045,8.78764045,0,0,295.8966292,0,0,0
1/12/2024 5:43,0,0,0.36,0.163,0.071,0.092,0.075,24.41011236,19.29775281,22.98,0,0,0.36,8.78764045,8.78764045,0,0,304.6842697,0,0,0
1/12/2024 5:48,0,0,0.37,0.305,0.245,0.23,0.003,24.41011236,19.29775281,23.35,0,0,0.37,9.031741573,9.031741573,0,0,313.7160112,0,0,0
1/12/2024 5:54,0,0,0.37,0.062,0.025,0.236,0.122,24.41011236,19.29775281,23.72,0,0,0.37,9.031741573,9.031741573,0,0,322.7477528,0,0,0
1/12/2024 5:56,0,0,0.37,0.07,0.081,0.134,0.082,24.41011236,19.29775281,24.09,0,0,0.37,9.031741573,9.031741573,0,0,331.7794944,0,0,0
1/12/2024 5:58,-0.1,0,,,,,,24.41011236,19.29775281,24.09,-0.1,0,0.37,9.031741573,9.031741573,0,0,340.811236,0,0,0
1/12/2024 5:59,0,0,0.39,0.044,0.004,0.082,0.308,24.41011236,19.29775281,24.48,0,0,0.39,9.51994382,9.51994382,0,0,350.3311798,0,0,0
1/12/2024 6:01,0,0,0.4,0.113,0.044,0.003,0.087,19.29775281,19.29775281,24.88,0,0,0.4,7.719101124,7.719101124,0,0,358.0502809,0,0,0
1/12/2024 6:04,0,0,0.39,0.133,0.083,0.213,0.023,19.29775281,19.29775281,25.27,0,0,0.39,7.526123596,7.526123596,0,0,365.5764045,0,0,0
1/12/2024 6:05,0,0,0.4,0.135,0.101,0.13,0.011,19.29775281,19.29775281,25.67,0,0,0.4,7.719101124,7.719101124,0,0,373.2955056,0,0,0
1/12/2024 6:06,-0.1,0,,,,,,19.29775281,19.29775281,25.67,-0.1,0,0.4,7.719101124,7.719101124,0,0,381.0146068,0,0,0
1/12/2024 6:12,0,0,0.38,0.004,0.106,0.025,0.22,19.29775281,19.29775281,26.05,0,0,0.38,7.333146068,7.333146068,0,0,388.3477528,0,0,0
1/12/2024 6:15,0,0,0.41,0.089,0.036,0.095,0.025,19.29775281,19.29775281,26.46,0,0,0.41,7.912078652,7.912078652,0,0,396.2598315,0,0,0
1/12/2024 6:18,0,0,0.4,0.177,0.201,0.155,0.025,19.29775281,19.29775281,26.86,0,0,0.4,7.719101124,7.719101124,0,0,403.9789326,0,0,0
1/12/2024 6:19,-0.1,0,,,,,,19.29775281,19.29775281,26.86,-0.1,0,0.4,7.719101124,7.719101124,0,0,411.6980337,0,0,0
1/12/2024 6:20,0,0,0.4,0.13,0.071,0.082,0.11,19.29775281,19.29775281,27.26,0,0,0.4,7.719101124,7.719101124,0,0,419.4171348,0,0,0
1/12/2024 6:22,-0.1,0,,,,,,19.29775281,19.29775281,27.26,-0.1,0,0.4,7.719101124,7.719101124,0,0,427.136236,0,0,0
1/12/2024 6:25,-0.1,0,,,,,,19.29775281,19.29775281,27.26,-0.1,0,0.4,7.719101124,7.719101124,0,0,434.8553371,0,0,0
1/12/2024 6:27,-0.1,0,,,,,,19.29775281,19.29775281,27.26,-0.1,0,0.4,7.719101124,7.719101124,0,0,442.5744382,0,0,0
1/12/2024 6:28,0,0,0.4,0.051,0.296,0.008,0.009,19.29775281,19.29775281,27.66,0,0,0.4,7.719101124,7.719101124,0,0,450.2935393,0,0,0
1/12/2024 6:29,0,0,0.4,0.16,0.04,0.276,0.172,19.29775281,19.29775281,28.06,0,0,0.4,7.719101124,7.719101124,0,0,458.0126405,0,0,0
1/12/2024 6:31,-0.1,0,,,,,,19.29775281,19.29775281,28.06,-0.1,0,0.4,7.719101124,7.719101124,0,0,465.7317416,0,0,0
1/12/2024 6:32,0,0,0.4,0.039,0.094,0.057,0.093,19.29775281,19.29775281,28.46,0,0,0.4,7.719101124,7.719101124,0,0,473.4508427,0,0,0
1/12/2024 6:33,0,0,0.41,0.036,0.058,0.173,0.026,19.29775281,19.29775281,28.87,0,0,0.41,7.912078652,7.912078652,0,0,481.3629214,0,0,0
1/12/2024 6:37,-0.1,0,,,,,,19.29775281,19.29775281,28.87,-0.1,0,0.41,7.912078652,7.912078652,0,0,489.275,0,0,0
1/12/2024 6:38,0,0,0.4,0.005,0.132,0.283,0.004,19.29775281,19.29775281,29.27,0,0,0.4,7.719101124,7.719101124,0,0,496.9941011,0,0,0
1/12/2024 6:39,0,0,0.39,0.111,0.094,0.045,0.09,19.29775281,19.29775281,29.66,0,0,0.39,7.526123596,7.526123596,0,0,504.5202247,0,0,0
1/12/2024 6:42,0,0,0.38,0.166,0.214,0.166,0.038,19.29775281,19.29775281,30.04,0,0,0.38,7.333146068,7.333146068,0,0,511.8533708,0,0,0
1/12/2024 6:44,0.1,0.1,0.4,0.057,0.107,0.221,0,19.29775281,19.29775281,30.44,0.1,0.1,0.3,7.719101124,5.789325843,1.929775281,1.929775281,517.6426966,0.1,0.00373,0
1/12/2024 6:46,-0.1,0,,,,,,19.29775281,19.29775281,30.44,-0.1,0,0.4,7.719101124,7.719101124,0,1.929775281,525.3617978,0.1,0.00373,0
1/12/2024 6:48,-0.1,0,,,,,,19.29775281,19.29775281,30.44,-0.1,0,0.4,7.719101124,7.719101124,0,1.929775281,533.0808989,0.1,0.00373,0
1/12/2024 6:50,0.1,0.1,0.4,0.124,0.112,0.014,0.037,19.29775281,19.29775281,30.84,0.1,0.1,0.3,7.719101124,5.789325843,1.929775281,3.859550562,538.8702247,0.2,0.00746,0
1/12/2024 6:51,0.1,0.1,0.4,0.104,0.124,0.155,0.222,19.29775281,19.29775281,31.24,0.1,0.1,0.3,7.719101124,5.789325843,1.929775281,5.789325843,544.6595506,0.3,0.01119,0
1/12/2024 6:54,0.1,0.1,0.38,0.025,0.135,0.019,0.119,19.29775281,19.29775281,31.62,0.1,0.1,0.28,7.333146068,5.403370787,1.929775281,7.719101124,550.0629214,0.4,0.01492,0
1/12/2024 6:55,0.1,0.1,0.4,0.079,0.29,0.056,0.045,19.29775281,19.29775281,32.02,0.1,0.1,0.3,7.719101124,5.789325843,1.929775281,9.648876405,555.8522472,0.5,0.01865,0
1/12/2024 6:56,0.1,0.1,0.37,0.098,0.018,0.079,0.117,19.29775281,19.29775281,32.39,0.1,0.1,0.27,7.14016854,5.210393259,1.929775281,11.57865169,561.0626405,0.6,0.02238,0
1/12/2024 7:00,0.1,0.1,0.38,0.05,0.084,0.015,0.083,19.29775281,19.29775281,32.77,0.1,0.1,0.28,7.333146068,5.403370787,1.929775281,13.50842697,566.4660113,0.7,0.02611,0
1/12/2024 7:01,0.1,0.1,0.38,0.004,0.049,0.032,0.106,19.29775281,19.29775281,33.15,0.1,0.1,0.28,7.333146068,5.403370787,1.929775281,15.43820225,571.869382,0.8,0.02984,0
1/12/2024 7:02,-0.1,0,,,,,,19.29775281,19.29775281,33.15,-0.1,0,0.38,7.333146068,7.333146068,0,15.43820225,579.2025281,0.8,0.02984,0
1/12/2024 7:03,0.1,0.1,0.4,0.008,0.088,0.114,0.002,19.29775281,19.29775281,33.55,0.1,0.1,0.3,7.719101124,5.789325843,1.929775281,17.36797753,584.991854,0.9,0.03357,0
1/12/2024 7:05,-0.1,0,,,,,,19.29775281,19.29775281,33.55,-0.1,0,0.4,7.719101124,7.719101124,0,17.36797753,592.7109551,0.9,0.03357,0
1/12/2024 7:09,-0.1,0,,,,,,19.29775281,19.29775281,33.55,-0.1,0,0.4,7.719101124,7.719101124,0,17.36797753,600.4300562,0.9,0.03357,0
1/12/2024 7:10,0.1,0.1,0.38,0.038,0.233,0.216,0.078,19.29775281,19.29775281,33.93,0.1,0.1,0.28,7.333146068,5.403370787,1.929775281,19.29775281,605.833427,1,0.0373,0
1/12/2024 7:11,0.1,0.1,0.39,0.109,0.034,0.077,0.047,19.29775281,19.29775281,34.32,0.1,0.1,0.29,7.526123596,5.596348315,1.929775281,21.22752809,611.4297753,1.1,0.04103,0
1/12/2024 7:14,-0.1,0,,,,,,19.29775281,19.29775281,34.32,-0.1,0,0.39,7.526123596,7.526123596,0,21.22752809,618.9558989,1.1,0.04103,0
1/12/2024 7:15,0.1,0.1,0.38,0.028,0.081,0.089,0.023,19.29775281,19.29775281,34.7,0.1,0.1,0.28,7.333146068,5.403370787,1.929775281,23.15730337,624.3592697,1.2,0.04476,0
1/12/2024 7:17,0.1,0.1,0.38,0.235,0.11,0.033,0.145,19.29775281,19.29775281,35.08,0.1,0.1,0.28,7.333146068,5.403370787,1.929775281,25.08707865,629.7626405,1.3,0.04849,0
1/12/2024 7:18,0.1,0.1,0.38,0.07,0.248,0.067,0.089,19.29775281,19.29775281,35.46,0.1,0.1,0.28,7.333146068,5.403370787,1.929775281,27.01685393,635.1660113,1.4,0.05222,0
1/12/2024 7:19,0.1,0.1,0.38,0.08,0.177,0.003,0.239,19.29775281,19.29775281,35.84,0.1,0.1,0.28,7.333146068,5.403370787,1.929775281,28.94662921,640.569382,1.5,0.05595,0
1/12/2024 7:23,0.1,0.1,0.38,0.193,0.057,0.097,0.197,19.29775281,19.29775281,36.22,0.1,0.1,0.28,7.333146068,5.403370787,1.929775281,30.8764045,645.9727528,1.6,0.05968,0
1/12/2024 7:25,0.1,0.1,0.38,0.147,0.168,0.041,0.16,19.29775281,19.29775281,36.6,0.1,0.1,0.28,7.333146068,5.403370787,1.929775281,32.80617978,651.3761236,1.7,0.06341,0
1/12/2024 7:26,0.1,0.1,0.39,0.099,0.018,0.239,0.101,19.29775281,19.29775281,36.99,0.1,0.1,0.29,7.526123596,5.596348315,1.929775281,34.73595506,656.9724719,1.8,0.06714,0
1/12/2024 7:27,0.1,0.1,0.39,0.063,0.266,0.117,0.068,19.29775281,19.29775281,37.38,0.1,0.1,0.29,7.526123596,5.596348315,1.929775281,36.66573034,662.5688202,1.9,0.07087,0
1/12/2024 7:28,0.1,0.1,0.38,0.006,0.165,0.063,0.259,19.29775281,19.29775281,37.76,0.1,0.1,0.28,7.333146068,5.403370787,1.929775281,38.59550562,667.972191,2,0.0746,0
1/12/2024 7:32,0.1,0.1,0.44,0.113,0.038,0.177,0.001,19.29775281,19.29775281,38.2,0.1,0.1,0.34,8.491011236,6.561235955,1.929775281,40.5252809,674.533427,2.1,0.07833,0
1/12/2024 7:33,0.2,0.2,0.38,0.148,0.122,0.048,0.013,19.29775281,19.29775281,38.58,0.2,0.2,0.18,7.333146068,3.473595506,3.859550562,44.38483146,678.0070225,2.3,0.08579,0
1/12/2024 7:35,-0.1,0,,,,,,19.29775281,19.29775281,38.58,-0.1,0,0.38,7.333146068,7.333146068,0,44.38483146,685.3401686,2.3,0.08579,0
1/12/2024 7:36,0.2,0.2,0.38,0.211,0.193,0.063,0.016,19.29775281,19.29775281,38.96,0.2,0.2,0.18,7.333146068,3.473595506,3.859550562,48.24438202,688.8137641,2.5,0.09325,0
1/12/2024 7:38,0.2,0.2,0.37,0.156,0.072,0.071,0.064,19.29775281,19.29775281,39.33,0.2,0.2,0.17,7.14016854,3.280617978,3.859550562,52.10393259,692.094382,2.7,0.10071,0
1/12/2024 7:39,-0.1,0,,,,,,19.29775281,19.29775281,39.33,-0.1,0,0.37,7.14016854,7.14016854,0,52.10393259,699.2345506,2.7,0.10071,0
1/12/2024 7:41,0.2,0.155,0.38,0.003,0.003,0.145,0.004,19.29775281,24.41011236,39.71,0.2,0.2,0.18,7.333146068,3.473595506,3.859550562,55.96348315,702.7081461,2.9,0.10817,0
1/12/2024 7:43,0.2,0.2,0.39,0.05,0.109,0.024,0.064,19.29775281,24.41011236,40.1,0.2,0.2,0.19,7.526123596,3.666573034,3.859550562,59.82303371,706.3747191,3.1,0.11563,0
1/12/2024 7:45,-0.1,0,,,,,,19.29775281,24.41011236,40.1,-0.1,0,0.39,7.526123596,7.526123596,0,59.82303371,713.9008427,3.1,0.11563,0
1/12/2024 7:46,0.2,0.126,0.38,0.026,0.017,0.008,0.075,19.29775281,24.41011236,40.48,0.2,0.2,0.18,7.333146068,3.473595506,3.859550562,63.68258427,717.3744382,3.3,0.12309,0
1/12/2024 7:49,0.2,0.188,0.38,0.041,0.076,0.062,0.009,19.29775281,24.41011236,40.86,0.2,0.2,0.18,7.333146068,3.473595506,3.859550562,67.54213483,720.8480337,3.5,0.13055,0
1/12/2024 7:51,0.2,0.2,0.38,0.223,0.004,0.001,0,19.29775281,24.41011236,41.24,0.2,0.2,0.18,7.333146068,3.473595506,3.859550562,71.4016854,724.3216292,3.7,0.13801,0
1/12/2024 7:52,0.2,0.2,0.38,0.047,0.156,0.072,0.031,19.29775281,24.41011236,41.62,0.2,0.2,0.18,7.333146068,3.473595506,3.859550562,75.26123596,727.7952247,3.9,0.14547,0
1/12/2024 7:55,0.2,0.2,0.4,0.033,0.076,0.279,0.013,19.29775281,24.41011236,42.02,0.2,0.2,0.2,7.719101124,3.859550562,3.859550562,79.12078652,731.6547753,4.1,0.15293,0
1/12/2024 7:56,0.2,0.2,0.4,0.021,0.113,0.121,0.288,19.29775281,24.41011236,42.42,0.2,0.2,0.2,7.719101124,3.859550562,3.859550562,82.98033708,735.5143259,4.3,0.16039,0
1/12/2024 7:57,0.2,0.2,0.4,0.143,0.048,0.054,0.009,19.29775281,24.41011236,42.82,0.2,0.2,0.2,7.719101124,3.859550562,3.859550562,86.83988764,739.3738764,4.5,0.16785,0
1/12/2024 7:59,0.2,0.2,0.39,0.32,0.145,0.109,0.16,19.29775281,24.41011236,43.21,0.2,0.2,0.19,7.526123596,3.666573034,3.859550562,90.69943821,743.0404495,4.7,0.17531,0
1/12/2024 8:00,0.2,0.154,0.41,0.02,0.086,0.004,0.044,24.41011236,24.41011236,43.62,0.2,0.2,0.21,10.00814607,5.126123596,4.882022472,95.58146068,748.1665731,4.9,0.18277,0
1/12/2024 8:03,-0.1,0,,,,,,24.41011236,24.41011236,43.62,-0.1,0,0.41,10.00814607,10.00814607,0,95.58146068,758.1747191,4.9,0.18277,0
1/12/2024 8:05,-0.1,0,,,,,,24.41011236,24.41011236,43.62,-0.1,0,0.41,10.00814607,10.00814607,0,95.58146068,768.1828652,4.9,0.18277,0
1/12/2024 8:07,-0.1,0,,,,,,24.41011236,24.41011236,43.62,-0.1,0,0.41,10.00814607,10.00814607,0,95.58146068,778.1910113,4.9,0.18277,0
1/12/2024 8:11,-0.1,0,,,,,,24.41011236,24.41011236,43.62,-0.1,0,0.41,10.00814607,10.00814607,0,95.58146068,788.1991573,4.9,0.18277,0
1/12/2024 8:12,0.2,0.2,0.41,0.131,0.136,0.333,0.073,24.41011236,24.41011236,44.03,0.2,0.2,0.21,10.00814607,5.126123596,4.882022472,100.4634832,793.3252809,5.1,0.19023,0
1/12/2024 8:13,0.2,0.2,0.42,0.035,0.083,0.137,0.209,24.41011236,24.41011236,44.45,0.2,0.2,0.22,10.25224719,5.370224719,4.882022472,105.3455056,798.6955056,5.3,0.19769,0
1/12/2024 8:16,0.2,0.2,0.39,0.158,0.168,0.02,0.023,24.41011236,24.41011236,44.84,0.2,0.2,0.19,9.51994382,4.637921348,4.882022472,110.2275281,803.333427,5.5,0.20515,0
1/12/2024 8:17,0.2,0.2,0.41,0.12,0.025,0.138,0.249,24.41011236,24.41011236,45.25,0.2,0.2,0.21,10.00814607,5.126123596,4.882022472,115.1095506,808.4595506,5.7,0.21261,0
1/12/2024 8:18,0.2,0.2,0.4,0.098,0.021,0.202,0.066,24.41011236,24.41011236,45.65,0.2,0.2,0.2,9.764044944,4.882022472,4.882022472,119.991573,813.3415731,5.9,0.22007,0
1/12/2024 8:20,0.2,0.2,0.4,0.115,0.172,0.089,0.218,24.41011236,24.41011236,46.05,0.2,0.2,0.2,9.764044944,4.882022472,4.882022472,124.8735955,818.2235955,6.1,0.22753,0
1/12/2024 8:22,-0.1,0,,,,,,24.41011236,24.41011236,46.05,-0.1,0,0.4,9.764044944,9.764044944,0,124.8735955,827.9876405,6.1,0.22753,0
1/12/2024 8:23,0.3,0.3,0.4,0.029,0.108,0.01,0.213,24.41011236,24.41011236,46.45,0.3,0.3,0.1,9.764044944,2.441011236,7.323033708,132.1966292,830.4286517,6.4,0.23872,0
1/12/2024 8:24,-0.1,0,,,,,,24.41011236,24.41011236,46.45,-0.1,0,0.4,9.764044944,9.764044944,0,132.1966292,840.1926967,6.4,0.23872,0
1/12/2024 8:26,-0.1,0,,,,,,24.41011236,24.41011236,46.45,-0.1,0,0.4,9.764044944,9.764044944,0,132.1966292,849.9567416,6.4,0.23872,0
1/12/2024 8:28,-0.1,0,,,,,,24.41011236,24.41011236,46.45,-0.1,0,0.4,9.764044944,9.764044944,0,132.1966292,859.7207865,6.4,0.23872,0
1/12/2024 8:29,0.3,0.209,0.4,0.082,0.002,0.092,0.033,24.41011236,24.41011236,46.85,0.3,0.3,0.1,9.764044944,2.441011236,7.323033708,139.5196629,862.1617978,6.7,0.24991,0
